archivo,ruta,hojas_con_datos,filas_totales,columnas_totales_sumadas,columnas_normalizadas_unicas
20240528163342pWf6BcBWj8taVS3Q3mRKxgDsvwPejgH8.xlsx,Violencia/Hechos-Delicitivos/Agraviados/20240528163342pWf6BcBWj8taVS3Q3mRKxgDsvwPejgH8.xlsx,1,444513,23,23
20240524231759eHmz6DmFKboNQ5Y3OlqNkbi9izmXULaP.xlsx,Violencia/Faltas judiciales/20240524231759eHmz6DmFKboNQ5Y3OlqNkbi9izmXULaP.xlsx,1,17908,23,23
