Año;Departamento;Municipio;CIE-10;Diagnóstico;Grupo Etario;Sexo;Casos
2021;BAJA VERAPAZ;PURULHÁ;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
2021;BAJA VERAPAZ;SALAMÁ;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;3
2021;CHIMALTENANGO;CHIMALTENANGO;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;10
2021;CHIMALTENANGO;POCHUTA;J:45;Asma;< 1 mes;F;2
2021;CHIMALTENANGO;TECPÁN GUATEMALA;I:62;Otras hemorragias intracraneales no traumáticas;< 1 mes;F;1
2021;CHIQUIMULA;CHIQUIMULA;N:18;Insuficiencia renal crónica;< 1 mes;F;1
2021;EL PETEN;FLORES;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
2021;EL PETEN;LAS CRUCES;J:45;Asma;< 1 mes;F;1
2021;EL PETEN;MELCHOR DE MENCOS;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2021;EL PETEN;SAN BENITO;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2021;EL PETEN;SAN BENITO;J:44;Otras enfermedades pulmonares obstructivas crónicas;< 1 mes;F;1
2021;EL PETEN;SAYAXCHÉ;J:45;Asma;< 1 mes;F;2
2021;EL PROGRESO;SANSARE;J:45;Asma;< 1 mes;F;1
2021;ESCUINTLA;MASAGUA;J:45;Asma;< 1 mes;F;1
2021;GUATEMALA;AMATITLÁN;J:45;Asma;< 1 mes;F;1
2021;GUATEMALA;FRAIJANES;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
2021;GUATEMALA;GUATEMALA;C:90;Mieloma múltiple y tumores malignos de células plasmáticas;< 1 mes;F;1
2021;GUATEMALA;GUATEMALA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;3
2021;GUATEMALA;SAN PEDRO AYAMPUC;J:45;Asma;< 1 mes;F;2
2021;GUATEMALA;SAN PEDRO SACATEPÉQUEZ;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
2021;GUATEMALA;VILLA NUEVA;E:14;Diabetes mellitus, no especificada;< 1 mes;F;2
2021;GUATEMALA;VILLA NUEVA;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
2021;GUATEMALA;VILLA NUEVA;J:45;Asma;< 1 mes;F;1
2021;HUEHUETENANGO;BARILLAS;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
2021;HUEHUETENANGO;BARILLAS;I:46;Paro cardíaco;< 1 mes;F;1
2021;HUEHUETENANGO;BARILLAS;I:61;Hemorragia intraencefálica;< 1 mes;F;1
2021;HUEHUETENANGO;CUILCO;I:49;Otras arritmias cardíacas;< 1 mes;F;1
2021;HUEHUETENANGO;HUEHUETENANGO;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;2
2021;HUEHUETENANGO;HUEHUETENANGO;I:62;Otras hemorragias intracraneales no traumáticas;< 1 mes;F;1
2021;HUEHUETENANGO;HUEHUETENANGO;I:67;Otras enfermedades cerebrovasculares;< 1 mes;F;1
2021;HUEHUETENANGO;LA DEMOCRACIA;C:84;Linfoma de células T, periférico y cutáneo;< 1 mes;F;1
2021;HUEHUETENANGO;SAN PEDRO NECTA;I:49;Otras arritmias cardíacas;< 1 mes;F;1
2021;IZABAL;LOS AMATES;J:45;Asma;< 1 mes;F;1
2021;IZABAL;PUERTO BARRIOS;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2021;IZABAL;PUERTO BARRIOS;J:45;Asma;< 1 mes;F;1
2021;JUTIAPA;ATESCATEMPA;J:45;Asma;< 1 mes;F;1
2021;JUTIAPA;YUPILTEPEQUE;J:45;Asma;< 1 mes;F;1
2021;QUETZALTENANGO;CABRICÁN;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
2021;QUETZALTENANGO;CANTEL;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2021;QUETZALTENANGO;QUETZALTENANGO;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2021;QUETZALTENANGO;SAN CARLOS SIJA;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
2021;QUICHE;NEBAJ;E:10;Diabetes mellitus insulinodependiente;< 1 mes;F;1
2021;QUICHE;SAN JUAN COTZAL;J:45;Asma;< 1 mes;F;1
2021;QUICHE;SAN MIGUEL USPANTÁN;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
2021;QUICHE;SANTA CRUZ DEL QUICHÉ;I:50;Insuficiencia cardíaca;< 1 mes;F;1
2021;RETALHULEU;SAN ANDRÉS VILLA SECA;J:45;Asma;< 1 mes;F;1
2021;SACATEPEQUEZ;ANTIGUA GUATEMALA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;4
2021;SACATEPEQUEZ;SUMPANGO;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2021;SAN MARCOS;EL RODEO;J:45;Asma;< 1 mes;F;1
2021;SAN MARCOS;MALACATÁN;I:88;Linfadenitis inespecífica;< 1 mes;F;2
2021;SAN MARCOS;SAN LORENZO;J:45;Asma;< 1 mes;F;1
2021;SAN MARCOS;TEJUTLA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;2
2021;SANTA ROSA;CUILAPA;I:10;Hipertensión esencial (primaria);< 1 mes;F;1
2021;SANTA ROSA;CUILAPA;I:25;Enfermedad isquémica crónica del corazón;< 1 mes;F;1
2021;SANTA ROSA;CUILAPA;I:27;Otras enfermedades cardiopulmonares;< 1 mes;F;11
2021;SANTA ROSA;CUILAPA;I:30;Pericarditis aguda;< 1 mes;F;1
2021;SANTA ROSA;CUILAPA;I:42;Cardiomiopatía;< 1 mes;F;1
2021;SANTA ROSA;CUILAPA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;6
2021;SANTA ROSA;CUILAPA;I:61;Hemorragia intraencefálica;< 1 mes;F;7
2021;SANTA ROSA;CUILAPA;I:62;Otras hemorragias intracraneales no traumáticas;< 1 mes;F;1
2021;SANTA ROSA;CUILAPA;I:82;Otras embolias y trombosis venosas;< 1 mes;F;1
2021;SOLOLA;PANAJACHEL;I:42;Cardiomiopatía;< 1 mes;F;1
2021;SOLOLA;SOLOLÁ;I:30;Pericarditis aguda;< 1 mes;F;1
2021;SOLOLA;SOLOLÁ;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2021;SUCHITEPEQUEZ;MAZATENANGO;I:38;Endocarditis, válvula no especificada;< 1 mes;F;1
2021;SUCHITEPEQUEZ;MAZATENANGO;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;F;1
2021;ZACAPA;ZACAPA;I:42;Cardiomiopatía;< 1 mes;F;2
2021;ALTA VERAPAZ;COBÁN;I:49;Otras arritmias cardíacas;< 1 mes;M;1
2021;ALTA VERAPAZ;COBÁN;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;M;1
2021;BAJA VERAPAZ;PURULHÁ;I:46;Paro cardíaco;< 1 mes;M;1
2021;BAJA VERAPAZ;RABINAL;I:10;Hipertensión esencial (primaria);< 1 mes;M;1
2021;BAJA VERAPAZ;SALAMÁ;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;M;1
2021;CHIMALTENANGO;CHIMALTENANGO;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;M;6
2021;CHIMALTENANGO;TECPÁN GUATEMALA;I:27;Otras enfermedades cardiopulmonares;< 1 mes;M;1
2021;CHIQUIMULA;ESQUIPULAS;J:45;Asma;< 1 mes;M;1
2021;EL PETEN;FLORES;E:11;Diabetes mellitus no insulinodependiente;< 1 mes;M;1
2021;EL PETEN;LA LIBERTAD;J:45;Asma;< 1 mes;M;1
2021;EL PETEN;SAN BENITO;J:44;Otras enfermedades pulmonares obstructivas crónicas;< 1 mes;M;1
2021;EL PETEN;SAYAXCHÉ;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;M;1
2021;EL PETEN;SAYAXCHÉ;J:45;Asma;< 1 mes;M;1
2021;ESCUINTLA;PUERTO DE SAN JOSÉ;J:45;Asma;< 1 mes;M;1
2021;GUATEMALA;AMATITLÁN;I:10;Hipertensión esencial (primaria);< 1 mes;M;1
2021;GUATEMALA;CHINAUTLA;I:10;Hipertensión esencial (primaria);< 1 mes;M;1
2021;GUATEMALA;FRAIJANES;I:22;Infarto subsecuente del miocardio;< 1 mes;M;1
2021;GUATEMALA;MIXCO;I:46;Paro cardíaco;< 1 mes;M;1
